target_id,shot,feature_condition,training_mode,mean_auc,std_auc,mean_delta_auc,success_rate_delta_ge_005,stability_label,status,is_posthoc,paper_safe_claim,paper_forbidden_claim,source_file,best_shot,best_mean_auc,best_mean_delta_auc,final_status
T2_PH,0,full,source_only_baseline_from_corrected_E5,0.6416666666666666,0.1369306393762915,0.0,0.0,no meaningful improvement,diagnostic_context,True,Few-shot calibration remains target-dependent.,Do not claim few-shot universally improves transfer.,output\week9\metrics\W9_E2_fewshot_seed_stability.csv,10,0.9541666666666666,0.3125,recoverable_target_supported
T2_PH,0,graph-only,source_only_baseline_from_corrected_E5,0.5979166666666667,0.265941396531057,0.0,0.0,no meaningful improvement,diagnostic_context,True,Few-shot calibration remains target-dependent.,Do not claim few-shot universally improves transfer.,output\week9\metrics\W9_E2_fewshot_seed_stability.csv,10,0.9541666666666666,0.3125,recoverable_target_supported
T2_PH,0,no-ccTLD,source_only_baseline_from_corrected_E5,0.6041666666666667,0.1816207893141947,0.0,0.0,no meaningful improvement,diagnostic_context,True,Few-shot calibration remains target-dependent.,Do not claim few-shot universally improves transfer.,output\week9\metrics\W9_E2_fewshot_seed_stability.csv,10,0.9541666666666666,0.3125,recoverable_target_supported
T2_PH,0,no-website-lexical,source_only_baseline_from_corrected_E5,0.5979166666666667,0.265941396531057,0.0,0.0,no meaningful improvement,diagnostic_context,True,Few-shot calibration remains target-dependent.,Do not claim few-shot universally improves transfer.,output\week9\metrics\W9_E2_fewshot_seed_stability.csv,10,0.9541666666666666,0.3125,recoverable_target_supported
T2_PH,1,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.8083333333333333,0.0785060153392365,0.1666666666666666,0.8,stable improvement,posthoc_support,True,Few-shot calibration substantially improves the hard T2_PH target.,Do not claim few-shot universally improves transfer.,output\week9\metrics\W9_E2_fewshot_seed_stability.csv,10,0.9541666666666666,0.3125,recoverable_target_supported
T2_PH,1,graph-only,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.5604166666666667,0.2541325113662818,-0.0375,0.2,unstable/sample-sensitive,diagnostic_context,True,Few-shot calibration remains target-dependent.,Do not claim few-shot universally improves transfer.,output\week9\metrics\W9_E2_fewshot_seed_stability.csv,10,0.9541666666666666,0.3125,recoverable_target_supported
T2_PH,1,no-ccTLD,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.8583333333333334,0.114488597200284,0.2541666666666667,1.0,stable improvement,posthoc_support,True,Few-shot calibration substantially improves the hard T2_PH target.,Do not claim few-shot universally improves transfer.,output\week9\metrics\W9_E2_fewshot_seed_stability.csv,10,0.9541666666666666,0.3125,recoverable_target_supported
T2_PH,1,no-website-lexical,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.5604166666666667,0.2541325113662818,-0.0375,0.2,unstable/sample-sensitive,diagnostic_context,True,Few-shot calibration remains target-dependent.,Do not claim few-shot universally improves transfer.,output\week9\metrics\W9_E2_fewshot_seed_stability.csv,10,0.9541666666666666,0.3125,recoverable_target_supported
T2_PH,3,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.9416666666666668,0.0309008270295652,0.3,1.0,stable improvement,posthoc_support,True,Few-shot calibration substantially improves the hard T2_PH target.,Do not claim few-shot universally improves transfer.,output\week9\metrics\W9_E2_fewshot_seed_stability.csv,10,0.9541666666666666,0.3125,recoverable_target_supported
T2_PH,3,graph-only,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.86875,0.0953566040945484,0.2708333333333333,0.8,stable improvement,posthoc_support,True,Few-shot calibration substantially improves the hard T2_PH target.,Do not claim few-shot universally improves transfer.,output\week9\metrics\W9_E2_fewshot_seed_stability.csv,10,0.9541666666666666,0.3125,recoverable_target_supported
