transfer_id,feature_condition,config_id,num_runs,metric_mean,metric_std,source_file,is_posthoc,full_metric_mean,delta_vs_full,paper_safe_claim,paper_forbidden_claim,status
T1_Nordic,full,C1_full,5,0.2064516129032258,0.1052226221309683,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.2064516129032258,0.0,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,limited_feature_bucket_effect
T1_Nordic,graph_only,C4_graph_only,5,0.0451612903225806,0.0387096774193548,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.2064516129032258,-0.1612903225806452,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,material_feature_bucket_effect
T1_Nordic,infra_edges_only,C9_infra_edges_only,5,0.2129032258064516,0.0991115580370143,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.2064516129032258,0.006451612903225795,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,limited_feature_bucket_effect
T1_Nordic,lexical_only,C5_lex_only,5,0.3548387096774193,0.171908549606119,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.2064516129032258,0.1483870967741935,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,material_feature_bucket_effect
T1_Nordic,no_cctld,C2_no_cctld,5,0.2,0.0800624106192958,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.2064516129032258,-0.006451612903225795,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,limited_feature_bucket_effect
T1_Nordic,no_edges,C6_no_edges,5,0.3548387096774193,0.171908549606119,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.2064516129032258,0.1483870967741935,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,material_feature_bucket_effect
T1_Nordic,no_website_lexical,C3_no_website_lexical,5,0.0451612903225806,0.0387096774193548,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.2064516129032258,-0.1612903225806452,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,material_feature_bucket_effect
T2_ON,full,C1_full,5,0.3027596900275405,0.0511830795987792,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.3027596900275405,0.0,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,limited_feature_bucket_effect
T2_ON,graph_only,C4_graph_only,5,0.4260639569676095,0.0773412075605409,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.3027596900275405,0.12330426694006902,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,material_feature_bucket_effect
T2_ON,infra_edges_only,C9_infra_edges_only,5,0.3027596900275405,0.0511830795987792,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.3027596900275405,0.0,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,limited_feature_bucket_effect
T2_ON,lexical_only,C5_lex_only,5,0.3225775591330603,0.0099839852400065,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.3027596900275405,0.019817869105519803,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,limited_feature_bucket_effect
T2_ON,no_cctld,C2_no_cctld,5,0.2952332848143072,0.0388934347434497,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.3027596900275405,-0.007526405213233278,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,limited_feature_bucket_effect
T2_ON,no_edges,C6_no_edges,5,0.3225775591330603,0.0099839852400065,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.3027596900275405,0.019817869105519803,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,limited_feature_bucket_effect
T2_ON,no_website_lexical,C3_no_website_lexical,5,0.4260639569676095,0.0773412075605409,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.3027596900275405,0.12330426694006902,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,material_feature_bucket_effect
T2_PH,full,C1_full,5,0.6416666666666666,0.1224744871391589,output\week8_patch\metrics\E5_structure_vs_lexical_summary.csv,True,0.6416666666666666,0.0,Feature-bucket ablation is diagnostic and target-dependent.,Do not infer a universal feature mechanism from one target.,limited_feature_bucket_effect
