comparison_family,transfer_id,method_a,method_b,n_pairs,mean_a,mean_b,mean_delta_a_minus_b,ci95_low,ci95_high,bootstrap_p,wilcoxon_p,is_prerun_frozen,is_posthoc,paper_safe_claim,paper_forbidden_claim,holm_reject_bootstrap,holm_reject_wilcoxon
W7_method_pairwise,T1_Nordic,dann,dann_strurw,5,0.2709677419354838,0.25806451612903225,0.012903225806451613,-0.10322580645161294,0.11612903225806456,0.8472,1.0,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
W7_method_pairwise,T1_Nordic,dann,source_only,5,0.2709677419354838,0.2064516129032258,0.06451612903225808,-0.051612903225806486,0.1741935483870968,0.3122,0.4375,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
W7_method_pairwise,T1_Nordic,dann,strurw,5,0.2709677419354838,0.14193548387096772,0.12903225806451615,0.08387096774193548,0.17419354838709683,0.0,0.0625,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,True,False
W7_method_pairwise,T1_Nordic,dann_strurw,source_only,5,0.25806451612903225,0.2064516129032258,0.05161290322580646,2.2204460492503132e-17,0.11612903225806451,0.034,0.1875,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
W7_method_pairwise,T1_Nordic,dann_strurw,strurw,5,0.25806451612903225,0.14193548387096772,0.11612903225806452,0.03225806451612902,0.20000000000000004,0.0002,0.125,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,True,False
W7_method_pairwise,T1_Nordic,source_only,strurw,5,0.2064516129032258,0.14193548387096772,0.06451612903225808,-0.025806451612903243,0.15483870967741936,0.1986,0.4375,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,False,False
W7_method_pairwise,T2_ON,dann,dann_strurw,5,0.3596254943407681,0.024269451234279142,0.335356043106489,0.2799243305857402,0.3767282958259043,0.0,0.0625,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,True,False
W7_method_pairwise,T2_ON,dann,source_only,5,0.3596254943407681,0.30275969002754055,0.05686580431322761,0.018085916378186052,0.10311612281848452,0.0012,0.125,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,True,False
W7_method_pairwise,T2_ON,dann,strurw,5,0.3596254943407681,0.0002667256255397284,0.35935876871522837,0.3364786618651828,0.3787034465718276,0.0,0.0625,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,True,False
W7_method_pairwise,T2_ON,dann_strurw,source_only,5,0.024269451234279142,0.30275969002754055,-0.2784902387932614,-0.34187570508232784,-0.21510477250419488,0.0,0.0625,True,False,Paired tests quantify method differences; they do not by themselves prove transfer success.,Do not claim DANN/StruRW/IRM/EERM solves transfer from an isolated p-value.,True,False
