created_at_utc,target_id,shot,seed,checkpoint_seed,feature_condition,training_mode,metric_family,target_primary_metric,primary_metric_direction,primary_metric_value,target_test_auc,pr_auc,balanced_accuracy,f1,target_licensed_consistency,target_illegal_consistency,target_mean_pred_illegal,actual_target_support,n_target_train,n_target_test,threshold,best_epoch,trained_epochs,encoder_checkpoint,is_prerun_frozen,is_posthoc,paper_safe_claim,paper_forbidden_claim,runtime_s,source_only_baseline,delta_vs_source_only
2026-04-28T05:36:08.983518+00:00,T1_Nordic,0,42,42,full,source_only_baseline,one_class_boundary,illegal_recall_at_youden,higher_is_better,0.3225806451612903,,,0.3225806451612903,0.2439024390243902,,0.3225806451612903,0.3133402530995625,0,0,31,0.2903753817081451,200.0,,,False,True,This is the Week 7 source-only one-class boundary baseline.,Do not force standard ROC-AUC for this one-class target.,9.431138515472412,0.3225806451612903,0.0
2026-04-28T05:36:18.968769+00:00,T1_Nordic,0,43,43,full,source_only_baseline,one_class_boundary,illegal_recall_at_youden,higher_is_better,0.2580645161290322,,,0.2580645161290322,0.2051282051282051,,0.2580645161290322,0.329555466958324,0,0,31,0.9992050528526306,200.0,,,False,True,This is the Week 7 source-only one-class boundary baseline.,Do not force standard ROC-AUC for this one-class target.,9.589009761810305,0.2580645161290322,0.0
2026-04-28T05:36:29.556141+00:00,T1_Nordic,0,44,44,full,source_only_baseline,one_class_boundary,illegal_recall_at_youden,higher_is_better,0.064516129032258,,,0.064516129032258,0.0606060606060606,,0.064516129032258,0.1031358750519176,0,0,31,0.9999018907546996,200.0,,,False,True,This is the Week 7 source-only one-class boundary baseline.,Do not force standard ROC-AUC for this one-class target.,10.18437147140503,0.064516129032258,0.0
2026-04-28T05:36:32.343440+00:00,T1_Nordic,0,45,45,full,source_only_baseline,one_class_boundary,illegal_recall_at_youden,higher_is_better,0.0967741935483871,,,0.0967741935483871,0.088235294117647,,0.0967741935483871,0.4383608352753423,0,0,31,0.4426642656326294,1.0,,,False,True,This is the Week 7 source-only one-class boundary baseline.,Do not force standard ROC-AUC for this one-class target.,2.356264114379883,0.0967741935483871,0.0
2026-04-28T05:36:42.979874+00:00,T1_Nordic,0,46,46,full,source_only_baseline,one_class_boundary,illegal_recall_at_youden,higher_is_better,0.2903225806451613,,,0.2903225806451613,0.225,,0.2903225806451613,0.465056244714649,0,0,31,0.9998559951782228,200.0,,,False,True,This is the Week 7 source-only one-class boundary baseline.,Do not force standard ROC-AUC for this one-class target.,10.210866451263428,0.2903225806451613,0.0
2026-04-28T05:37:24.131683+00:00,T2_ON,0,42,42,full,source_only_baseline,one_class_boundary,mean_pred_illegal,lower_is_better,0.3027721713895286,,,0.625,0.3846153846153846,0.625,,0.3027721713895286,0,0,24,0.2993318736553192,103.0,,,False,True,This is the Week 7 source-only one-class boundary baseline.,Do not treat licensed-only calibration as evidence of illegal recall.,6.102120876312256,0.3027721713895286,0.0
2026-04-28T05:37:32.673189+00:00,T2_ON,0,43,43,full,source_only_baseline,one_class_boundary,mean_pred_illegal,lower_is_better,0.3437696565912726,,,0.5833333333333334,0.3684210526315789,0.5833333333333334,,0.3437696565912726,0,0,24,0.1683022230863571,144.0,,,False,True,This is the Week 7 source-only one-class boundary baseline.,Do not treat licensed-only calibration as evidence of illegal recall.,8.08523178100586,0.3437696565912726,0.0
2026-04-28T05:37:36.386579+00:00,T2_ON,0,44,44,full,source_only_baseline,one_class_boundary,mean_pred_illegal,lower_is_better,0.3628193258773535,,,0.625,0.3846153846153846,0.625,,0.3628193258773535,0,0,24,0.5042688846588135,43.0,,,False,True,This is the Week 7 source-only one-class boundary baseline.,Do not treat licensed-only calibration as evidence of illegal recall.,3.274627685546875,0.3628193258773535,0.0
2026-04-28T05:37:41.315164+00:00,T2_ON,0,45,45,full,source_only_baseline,one_class_boundary,mean_pred_illegal,lower_is_better,0.2889662125768761,,,0.7083333333333334,0.4146341463414634,0.7083333333333334,,0.2889662125768761,0,0,24,0.4804635643959045,62.0,,,False,True,This is the Week 7 source-only one-class boundary baseline.,Do not treat licensed-only calibration as evidence of illegal recall.,4.489489555358887,0.2889662125768761,0.0
2026-04-28T05:37:51.183792+00:00,T2_ON,0,46,46,full,source_only_baseline,one_class_boundary,mean_pred_illegal,lower_is_better,0.2154710837026717,,,0.5416666666666666,0.3513513513513513,0.5416666666666666,,0.2154710837026717,0,0,24,0.0867193266749382,168.0,,,False,True,This is the Week 7 source-only one-class boundary baseline.,Do not treat licensed-only calibration as evidence of illegal recall.,9.423225164413452,0.2154710837026717,0.0
